Reference_ID,row_unique,Data_ID,Environmental_condition,General_response,Response,Specific_response,Environmental_metric,General_Disease,Disease,Pathogen,Transmission,Transmission_type,Pathogen_genus,vector,Principal_reservoir,Specific_scale,General_Stats_Method,Statistical_method,N.value,temp_altered,Type,Linear_Nonlinear,R.squared,Value,Lower,Upper,Error,Std._error,P.value_general,P.value_specific,Direction,Direction_statement,DOI,Continent,Country,Location,Latitude_,Longitude,Study_period,Date_published,Dummy,lag_period_months,Notes,Journal,Journal_5yr_Impact,measure,n_method,X,Y,es,se,weight,sample.size,var,ci.lo,ci.hi
130,R329,X504,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,-0.07,NA,NA,NA,NA,>0.05,NA,decrease,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Northeast,24.729557,121.762056,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,121.762056,24.729557,-0.139450353,0.184174139,NA,120,0.033920113,-0.500431665,0.221530959
130,R317,X492,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,-0.02,NA,NA,NA,NA,>0.05,NA,decrease,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,North,25.077283,121.620187,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,121.620187,25.077283,-0.039753174,0.183759113,NA,120,0.033767412,-0.399921037,0.320414688
130,R341,X516,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0,NA,NA,NA,NA,>0.05,NA,no change,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Matou islands,26.15066606,119.9229963,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,119.9229963,26.15066606,0,0.183722358,NA,120,0.033753905,-0.360095822,0.360095822
130,R324,X499,Humidity,Human disease incidence,Incidence,Incidence,Monthly mean relative,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0,NA,NA,NA,NA,>0.05,NA,no change,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Central west,"23.976187, 120.487671",NA,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,121.43,23.692,0,0.183722358,NA,120,0.033753905,-0.360095822,0.360095822
130,R319,X494,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.016,NA,NA,NA,NA,>0.05,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Northwest,24.789041,120.962792,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,120.962792,24.789041,0.031800249,0.183745879,NA,120,0.033762548,-0.328341674,0.391942172
130,R336,X511,Humidity,Human disease incidence,Incidence,Incidence,Monthly mean relative,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.08,NA,NA,NA,NA,>0.05,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Pescadore islands,23.57117,119.609012,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,119.609012,23.57117,0.159492086,0.184313107,NA,120,0.033971321,-0.201761603,0.520745775
130,R335,X510,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.15,NA,NA,NA,NA,>0.05,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Pescadore islands,23.57117,119.609012,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,119.609012,23.57117,0.301500348,0.18582478,NA,120,0.034530849,-0.062716221,0.665716917
130,R332,X507,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.16,NA,NA,NA,NA,>0.05,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Southeast,23.345218,121.440576,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,121.440576,23.345218,0.322111542,0.186120141,NA,120,0.034640707,-0.042683935,0.686907018
130,R342,X517,Humidity,Human disease incidence,Incidence,Incidence,Monthly mean relative,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.18,NA,NA,NA,NA,>0.05,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Matou islands,26.15066606,119.9229963,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,119.9229963,26.15066606,0.363646588,0.186772994,NA,120,0.034884151,-0.002428481,0.729721656
130,R316,X491,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.182,NA,NA,NA,NA,>0.05,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,North,25.077283,121.620187,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,121.620187,25.077283,0.367824742,0.186842909,NA,120,0.034910273,0.00161264,0.734036844
130,R331,X506,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.202,NA,NA,NA,NA,>0.05,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Southeast,23.345218,121.440576,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,121.440576,23.345218,0.409876134,0.187589416,NA,120,0.035189789,0.042200879,0.77755139
130,R323,X498,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.249,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Central west,"23.976187, 120.487671",NA,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,121.43,23.692,0.510920232,0.189697157,NA,120,0.035985012,0.139113804,0.882726661
130,R327,X502,Humidity,Human disease incidence,Incidence,Incidence,Monthly mean relative,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.276,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Southwest,22.946214,120.25411,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,120.25411,22.946214,0.57064945,0.191146958,NA,120,0.036537159,0.196001413,0.945297488
130,R326,X501,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.279,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Southwest,22.946214,120.25411,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,120.25411,22.946214,0.577372693,0.191319442,NA,120,0.036603129,0.202386587,0.9523588
130,R338,X513,Precipitation,Human disease incidence,Incidence,Incidence,Monthly total,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.354,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Kinmen islands,24.449071,118.391168,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,118.391168,24.449071,0.752198759,0.196442937,NA,120,0.038589828,0.367170601,1.137226916
130,R334,X509,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.37,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Pescadore islands,23.57117,119.609012,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,119.609012,23.57117,0.791454782,0.197756812,NA,120,0.039107757,0.40385143,1.179058133
130,R325,X500,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.422,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Southwest,22.946214,120.25411,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,120.25411,22.946214,0.925025436,0.202650786,NA,120,0.041067341,0.527829895,1.322220978
130,R322,X497,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.475,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Central west,"23.976187, 120.487671",NA,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,121.43,23.692,1.072686684,0.208778777,NA,120,0.043588578,0.663480281,1.481893086
130,R339,X514,Humidity,Human disease incidence,Incidence,Incidence,Monthly mean relative,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.567,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Kinmen islands,24.449071,118.391168,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,118.391168,24.449071,1.367916393,0.223040415,NA,120,0.049747027,0.93075718,1.805075606
130,R340,X515,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.583,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Matou islands,26.15066606,119.9229963,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,119.9229963,26.15066606,1.425985178,0.226127575,NA,120,0.05113368,0.982775131,1.869195226
130,R337,X512,Temperature,Human disease incidence,Incidence,Incidence,Monthly mean,Rickettsioses,Scrub typhus,Bacteria,ZVB,Vectored,Rickettsia,Mite,Mammals (multispecies),1,Correlation,Pearson correlation,120,NA,Correlation coefficient,Linear,NA,0.623,NA,NA,NA,NA,<0.01,NA,increase,Abstract,10.1186/1471-2334-13-191,Asia,Taiwan,Kinmen islands,24.449071,118.391168,2002-2011,2013,1,NA,N-value is number of months of study,BMC Infectious Diseases,3.147,NA,200,118.391168,24.449071,1.582752664,0.234872449,NA,120,0.055165067,1.122402665,2.043102664
199,R573,X724,Precipitation,Human disease incidence,Cases,Risk of infection,Monthly total,Hantaviral diseases,Haemorrhagic fever with renal syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,DLNM,Multivariate meta-analysis,88830,NA,NA,Non-linear,NA,NA,NA,NA,95% CI,NA,NA,NA,NA,Discussion,10.3390/ijerph16183434,Asia,China,North East,NA,NA,2002-2013,2019,1,NA,Environmental factors standardised to a percentile scale (0-100),BMC Parasites & Vectors,3.819,NA,NA,123.247,46.315,NA,NA,NA,NA,NA,NA,NA
199,R572,X723,Temperature,Human disease incidence,Cases,Risk of infection,Monthly mean,Hantaviral diseases,Haemorrhagic fever with renal syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,DLNM,Multivariate meta-analysis,88830,NA,NA,Non-linear,NA,NA,NA,NA,95% CI,NA,NA,NA,NA,Discussion,10.3390/ijerph16183434,Asia,China,North East,NA,NA,2002-2013,2019,1,NA,Environmental factors standardised to a percentile scale (0-100),BMC Parasites & Vectors,3.819,NA,NA,123.247,46.315,NA,NA,NA,NA,NA,NA,NA
199,R574,X725,Humidity,Human disease incidence,Cases,Risk of infection,Monthly mean relative,Hantaviral diseases,Haemorrhagic fever with renal syndrome,Virus,Z,Non-vectored,Hantavirus,NA,Rodents,1,DLNM,Multivariate meta-analysis,88830,NA,NA,Non-linear,NA,NA,NA,NA,95% CI,NA,NA,NA,NA,Discussion,10.3390/ijerph16183434,Asia,China,North East,NA,NA,2002-2013,2019,1,NA,Environmental factors standardised to a percentile scale (0-100),BMC Parasites & Vectors,3.819,NA,NA,123.247,46.315,NA,NA,NA,NA,NA,NA,NA
214n,R652,X903,Temperature,Human disease incidence,Incidence,Incidence,Annual mean temperature,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,-0.43,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,-0.891759661,0.62529222,NA,14,0.39099036,-2.117332412,0.33381309
214n,R653,X904,Temperature,Human disease incidence,Incidence,Incidence,Annual maximum temperature,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,-0.39,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,-0.793007151,0.613078596,NA,14,0.375865365,-1.994641199,0.408626897
214n,R654,X905,Temperature,Human disease incidence,Incidence,Incidence,Annual minimum temperature,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,-0.01,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,-0.01872434,0.564560108,NA,14,0.318728115,-1.125262152,1.087813471
214n,R655,X906,Temperature,Human disease incidence,Incidence,Incidence,Spring temperature,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,-0.89,NA,NA,NA,NA,<0.01,NA,decrease,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,Significant combined-row metric,Scientific Reports,NA,new,NA,NA,NA,-3.654665018,1.238115689,NA,14,1.53293046,-6.081371769,-1.227958267
214n,R656,X907,Temperature,Human disease incidence,Incidence,Incidence,Summer temperature,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,-0.81,NA,NA,NA,NA,<0.01,NA,decrease,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,Significant combined-row metric,Scientific Reports,NA,new,NA,NA,NA,-2.586150204,0.962658797,NA,14,0.926711959,-4.472961446,-0.699338963
214n,R657,X908,Temperature,Human disease incidence,Incidence,Incidence,Temperature of warmest quarter,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,-0.81,NA,NA,NA,NA,<0.01,NA,decrease,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,Significant combined-row metric,Scientific Reports,NA,new,NA,NA,NA,-2.586150204,0.962658797,NA,14,0.926711959,-4.472961446,-0.699338963
214n,R658,X909,Precipitation,Human disease incidence,Incidence,Incidence,Annual precipitation,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,-0.05,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,-0.093734262,0.56523887,NA,14,0.31949498,-1.201602448,1.014133923
214n,R659,X910,Precipitation,Human disease incidence,Incidence,Incidence,Annual maximum monthly precipitation,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,0.2,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,0.382189889,0.576172936,NA,14,0.331975253,-0.747109067,1.511488844
214n,R660,X911,Precipitation,Human disease incidence,Incidence,Incidence,Annual minimum monthly precipitation,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,-0.76,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,S1 heatmap,Scientific Reports,NA,new,NA,NA,NA,-2.189457159,0.868613384,NA,14,0.754489211,-3.891939391,-0.486974926
214n,R661,X912,Precipitation,Human disease incidence,Incidence,Incidence,Spring precipitation,Arboviral diseases,Tick-borne encephalitis,Virus,ZVB,Vectored,Flavivirus,Tick,Mammals (multispecies),1,Correlation,Spearman rank correlation,14,NA,Correlation coefficient,Linear,NA,-0.98,NA,NA,NA,NA,<0.01,NA,decrease,Results,10.1038/s41598-021-00167-z,Europe,Northern Arctic Region,All regions,68,23.5,2002-2015,2021,1,NA,Significant combined-row metric,Scientific Reports,NA,new,NA,NA,NA,-9.22068736,2.836879433,NA,14,8.047884915,-14.78097105,-3.660403672
260,R731,X982,Temperature,Human disease incidence,Incidence,Presence of cases,Mean temperature AprâOct (Â°F),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1.8,GL(M)M,Logistic regression,287,0,Odds ratio,Linear,NA,0.661111111,0.583333333,0.75,95% CI,NA,<0.01,<0.0001,increase,Results,10.1016/j.amepre.2005.10.008,North America,USA,Colorado;Nebraska;Louisiana;Pennsylvania,39.5,-98.35,2002-2003,2006,1,NA,Crop sales also significant; Specific_scale represents per 1Â°F expressed using 1.8 token; N=287 counties; OR and CI from Table 2,American Journal of Preventive Medicine,NA,new,NA,NA,NA,-0.227557344,0.035253699,NA,287,0.001242823,-0.296654595,-0.158460093
260,R732,X983,Precipitation,Human disease incidence,Incidence,Presence of cases,Average annual precipitation (inches),Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,1,GL(M)M,Logistic regression,287,0,Odds ratio,Linear,NA,NA,NA,NA,NA,NA,>0.05,NA,no change,Results,10.1016/j.amepre.2005.10.008,North America,USA,Colorado;Nebraska;Louisiana;Pennsylvania,39.5,-98.35,2002-2003,2006,1,NA,Precipitation was not significant in models per Results and Discussion; no OR reported in paper,American Journal of Preventive Medicine,NA,new,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,R749,X1000,Precipitation,Human disease incidence,Incidence,Human WNV disease incidence presence or absence by census block group,Annual total precipitation (mm) year of occurrence 2002; PRISM 4-km,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,NA,Other,Welch t-test,56,0,T-value,Linear,NA,-0.33,NA,NA,NA,NA,>0.05,0.74,increase,Results,10.1186/1476-072X-7-19,North America,USA,Iowa (statewide),42.07,-93.5,2002-2006,2008,1,0,Annual means PRISM; Welch t-test equal variances not assumed; direction based on difference in means; N not available; centroid estimated; lag 0,International Journal of Health Geographics,NA,new,NA,NA,NA,-0.086965565,0.267391142,13.98640072,56,0.071498023,-0.611042574,0.437111444
262,R750,X1001,Humidity,Human disease incidence,Incidence,Human WNV disease incidence presence or absence by census block group,Annual mean dewpoint (Â°C) year of occurrence 2002; PRISM 4-km,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,NA,Other,Welch t-test,56,0,T-value,Linear,NA,0.5,NA,NA,NA,NA,>0.05,0.62,no change,Results,10.1186/1476-072X-7-19,North America,USA,Iowa (statewide),42.07,-93.5,2002-2006,2008,1,0,Annual means PRISM; Welch t-test; N not available; centroid estimated; lag 0,International Journal of Health Geographics,NA,new,NA,NA,NA,0.131766008,0.267559358,13.9688196,56,0.07158801,-0.392640698,0.656172714
262,R751,X1002,Temperature,Human disease incidence,Incidence,Human WNV disease incidence presence or absence by census block group,Annual mean maximum temperature (Â°C) year of occurrence 2002; PRISM 4-km,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,NA,Other,Welch t-test,56,0,T-value,Linear,NA,-0.37,NA,NA,NA,NA,>0.05,0.71,no change,Results,10.1186/1476-072X-7-19,North America,USA,Iowa (statewide),42.07,-93.5,2002-2006,2008,1,0,Annual means PRISM; Welch t-test; lag 0,International Journal of Health Geographics,NA,new,NA,NA,NA,-0.097506846,0.267424532,13.98290839,56,0.07151588,-0.621649296,0.426635605
262,R752,X1003,Temperature,Human disease incidence,Incidence,Human WNV disease incidence presence or absence by census block group,Annual mean minimum temperature (Â°C) year of occurrence 2002; PRISM 4-km,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,NA,Other,Welch t-test,56,0,T-value,Linear,NA,0.66,NA,NA,NA,NA,>0.05,0.52,no change,Results,10.1186/1476-072X-7-19,North America,USA,Iowa (statewide),42.07,-93.5,2002-2006,2008,1,0,Annual means PRISM; Welch t-test; lag 0,International Journal of Health Geographics,NA,new,NA,NA,NA,0.17393113,0.267780465,13.94576095,56,0.071706378,-0.350908938,0.698771198
262,R753,X1004,Precipitation,Human disease incidence,Incidence,Human WNV disease incidence presence or absence by census block group,Annual total precipitation (mm) year of occurrence 2003; PRISM 4-km,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,NA,Other,Welch t-test,142,0,T-value,Linear,NA,-5.63,NA,NA,NA,NA,<0.001,NA,decrease,Results,10.1186/1476-072X-7-19,North America,USA,Iowa (statewide),42.07,-93.5,2002-2006,2008,1,0,With WNV mean lower than without; lag 0,International Journal of Health Geographics,NA,new,NA,NA,NA,-0.939847092,0.176954582,31.93569528,142,0.031312924,-1.286671699,-0.593022485
262,R754,X1005,Humidity,Human disease incidence,Incidence,Human WNV disease incidence presence or absence by census block group,Annual mean dewpoint (Â°C) year of occurrence 2003; PRISM 4-km,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,NA,Other,Welch t-test,142,0,T-value,Linear,NA,-3.38,NA,NA,NA,NA,<0.001,NA,decrease,Results,10.1186/1476-072X-7-19,North America,USA,Iowa (statewide),42.07,-93.5,2002-2006,2008,1,0,With WNV mean lower than without; lag 0,International Journal of Health Geographics,NA,new,NA,NA,NA,-0.564242126,0.171178744,34.12717433,142,0.029302162,-0.899746299,-0.228737954
262,R755,X1006,Temperature,Human disease incidence,Incidence,Human WNV disease incidence presence or absence by census block group,Annual mean maximum temperature (Â°C) year of occurrence 2003; PRISM 4-km,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,NA,Other,Welch t-test,142,0,T-value,Linear,NA,0.7,NA,NA,NA,NA,>0.05,0.483,no change,Results,10.1186/1476-072X-7-19,North America,USA,Iowa (statewide),42.07,-93.5,2002-2006,2008,1,0,lag 0,International Journal of Health Geographics,NA,new,NA,NA,NA,0.116854878,0.167980998,35.4388555,142,0.028217616,-0.212381827,0.446091584
262,R756,X1007,Temperature,Human disease incidence,Incidence,Human WNV disease incidence presence or absence by census block group,Annual mean minimum temperature (Â°C) year of occurrence 2003; PRISM 4-km,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,NA,Other,Welch t-test,142,0,T-value,Linear,NA,-3.75,NA,NA,NA,NA,<0.001,NA,decrease,Results,10.1186/1476-072X-7-19,North America,USA,Iowa (statewide),42.07,-93.5,2002-2006,2008,1,0,With WNV mean lower than without; lag 0,International Journal of Health Geographics,NA,new,NA,NA,NA,-0.626008276,0.171941346,33.82512057,142,0.029563827,-0.963007123,-0.28900943
262,R757,X1008,Precipitation,Human disease incidence,Incidence,Human WNV disease incidence presence or absence by census block group,Annual total precipitation (mm) year of occurrence 2004; PRISM 4-km,Arboviral diseases,West Nile Virus,Virus,ZVB,Vectored,Flavivirus,Mosquito,Birds,NA,Other,Welch t-test,22,0,T-value,Linear,NA,0.12,NA,NA,NA,NA,>0.05,0.901,no change,Results,10.1186/1476-072X-7-19,North America,USA,Iowa (statewide),42.07,-93.5,2002-2006,2008,1,0,lag 0,International Journal of Health Geographics,NA,new,NA,NA,NA,0.049225077,0.426471202,5.498200589,22,0.181877686,-0.786643119,0.885093273
