Response,Specific,Disease,P_V_B,Taxa_genus,Include,reason,type,vector,Environmental_condition,Specific_metric,Specific_scale,Statistical_method,N-value,temp_altered,Type,Linear_Nonlinear,R-squared,Value,Lower,Upper,Error,Std._error,P-value_general,P-value_specific,Direction,Direction_statement,DOI,Reference_ID,Data_ID,Continent,Country,Location,Latitude_,Longitude,Study_period,Date_published,Dummy,lag_period_months,Notes,Journal,Journal_5yr_Impact
Incidence,Cases,Brucellosis,B,Brucella,Y,,HH,,Temperature,Monthly mean,1,Pearson correlation,253,,Correlation coefficient,Linear,0.32,-0.55,,,,,<0.05,,decrease,Discussion,10.30476/ijms.2019.44968,117,X438,Asia,Iran,Fasa,28.945916,53.637839,2009-2015,2018,1,1,"n-value taken from fig.1 graphic, R2 taken from multivariable models and reported in Table 6",Iranian Journal of Medical Sciences,1.605
Incidence,Cases,Brucellosis,B,Brucella,Y,,HH,,Temperature,Monthly mean,1,Pearson correlation,713,,Correlation coefficient,Linear,0.47,-0.63,,,,,<0.01,,decrease,Discussion,10.30476/ijms.2019.44968,117,X435,Asia,Iran,Eghlid,30.896876,52.694234,2009-2015,2018,1,2,"n-value taken from fig.1 graphic, R2 taken from multivariable models and reported in Table 3",Iranian Journal of Medical Sciences,1.605
Incidence,Cases,Brucellosis,B,Brucella,Y,,HH,,Temperature,Monthly mean,1,Pearson correlation,256,,Correlation coefficient,Linear,0.26,-0.68,,,,,<0.01,,decrease,Discussion,10.30476/ijms.2019.44968,117,X436,Asia,Iran,Khorambid,28.472372,53.733784,2009-2015,2018,1,2,"n-value taken from fig.1 graphic, R2 taken from multivariable models and reported in Table 4",Iranian Journal of Medical Sciences,1.605
Incidence,Cases,Brucellosis,B,Brucella,Y,,HH,,Temperature,Monthly mean,1,Pearson correlation,84,,Correlation coefficient,Linear,0.63,-0.79,,,,,<0.01,,decrease,Discussion,10.30476/ijms.2019.44968,117,X434,Asia,Iran,Abadeh,31.159404,52.647015,2009-2015,2018,1,2,N-value is number of months of study,Iranian Journal of Medical Sciences,1.605
Incidence,Cases,Brucellosis,B,Brucella,Y,,HH,,Precipitation,Monthly total,1,Two-state Markov switching model,107,,Beta coefficient,Linear,,-0.038,-0.053,-0.023,Std. error,0.015,<0.05,0.011,decrease,Abstract,https://doi.org/10.1186/s13104-020-05415-5,118,X450,Asia,Iran,Qazvin province,36.269363,50.003201,2010-2019,2021,1,1,"N-value is number of months in study, State 2 with a lag of 1 was the recommended model and was thus used",BMC Research Notes,1.748
Incidence,Cases,Brucellosis,B,Brucella,Y,,HH,,Temperature,Monthly mean,1,Two-state Markov switching model,107,,Beta coefficient,Linear,,-4.229,-4.371,-4.087,Std. error,0.142,<0.0001,0,decrease,Abstract,https://doi.org/10.1186/s13104-020-05415-5,118,X449,Asia,Iran,Qazvin province,36.269363,50.003201,2010-2019,2021,1,1,"N-value is number of months in study, State 2 with a lag of 1 was the recommended model and was thus used",BMC Research Notes,1.748
Cases,Cases,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Temperature,Seasonal mean,1,Generalised linear model,12,,Beta coefficient,Linear,,0.7,0.587,0.813,Std. error,0.113,<0.0001,,increase,Abstract,10.1017/S0950268808000940,80,X291,Europe,Belgium,,,,1995-2007,2009,1,12,"N-value is number of years of study, Autumn, parameter estimate is a log scale",Epidemiology and Infection,2.306
Cases,Cases,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,Monthly maximum,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,0.372,-0.529,0.879,95% Confidence,,>0.05,0.411,increase,Abstract,10.5897/JPHE2013.0597,120,X452,Asia,India,Kurnool,15.810423,78.040334,2001-2006,2014,1,,"Exploring JE via vectors so may have to investigate, n-value is number of months of study",Journal of Public Health and Epidemiology,
Cases,Cases,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,Monthly total,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,-0.152,-0.812,0.679,95% Confidence,,>0.05,0.745,decrease,Abstract,10.5897/JPHE2013.0597,120,X453,Asia,India,Kurnool,15.810423,78.040334,2001-2006,2014,1,,"Exploring JE via vectors so may have to investigate, n-value is number of months of study",Journal of Public Health and Epidemiology,
Cases,Cases,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Humidity,Monthly mean relative,1,Spearman rank correlation,96,,Correlation coefficient,Linear,,-0.381,-0.881,0.522,95% Confidence,,>0.05,0.399,decrease,Abstract,10.5897/JPHE2013.0597,120,X454,Asia,India,Kurnool,15.810423,78.040334,2001-2006,2014,1,,"Exploring JE via vectors so may have to investigate, n-value is number of months of study",Journal of Public Health and Epidemiology,
Incidence,Infection risk,Leptospirosis,B,Leptospira,Y,,HH,,Humidity,Weekly mean relative,1,Log-linear regression,728,,Relative risk,Linear,,1.027,1.005,1.049,95% Credible,,<0.05,,increase,Discussion,https://doi.org/10.1371/journal.pntd.0007507,121,X457,South America,Brazil,Salvador, -12.974722,-38.476665,1996-2010,2022,1,0.5,N-value is number of weeks of study. Lag period chosen when 95% CI was all < OR all > than 1,PLOS neglected tropical diseases,4.548
Incidence,Infection risk,Leptospirosis,B,Leptospira,Y,,HH,,Precipitation,Weekly total,1,Log-linear regression,728,,Relative risk,Linear,,1.006,1.004,1.007,95% Credible,,<0.05,,increase,Discussion,https://doi.org/10.1371/journal.pntd.0007507,121,X456,South America,Brazil,Salvador, -12.974722,-38.476665,1996-2010,2022,1,0.25,N-value is number of weeks of study. Lag period chosen when 95% CI was all < OR all > than 1,PLOS neglected tropical diseases,4.548
Incidence,Infection risk,Leptospirosis,B,Leptospira,Y,,HH,,Temperature,Weekly mean,1,Log-linear regression,728,,Relative risk,Linear,,0.865,0.787,0.95,95% Credible,,<0.05,,decrease,Discussion,https://doi.org/10.1371/journal.pntd.0007507,121,X455,South America,Brazil,Salvador, -12.974722,-38.476665,1996-2010,2022,1,0.5,N-value is number of weeks of study. Lag period chosen when 95% CI was all < OR all > than 1,PLOS neglected tropical diseases,4.548
Abundance,Prevalence in host,Dobrava-Belgrade virus,V,Hantavirus,Y,,HH,,Precipitation,Annual mean total,1,Generalised linear model,13,,Correlation coefficient,Linear,,1.08,0.8,1.36,Std. error,0.28,<0.001,,increase,Abstract,10.1017/S0950268814003525,122,X459,Europe,Italy,Trento,46.080742,11.121358,2000-2012,2015,1,,N-value is number of years of study ,Epidemiology and Infection,2.306
Abundance,Prevalence in host,Dobrava-Belgrade virus,V,Hantavirus,Y,,HH,,Temperature,Annual maximum,1,Generalised linear model,13,,Correlation coefficient,Linear,,0.92,0.6,1.24,Std. error,0.32,<0.01,,increase,Abstract,10.1017/S0950268814003525,122,X458,Europe,Italy,Trento,46.080742,11.121358,2000-2012,2015,1,,N-value is number of years of study ,Epidemiology and Infection,2.306
Incidence,Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,Monthly mean,1,Zero-inflated poisson regression,132,,Beta coefficient,Linear,,0.3754,,,,,<0.001,,increase,Abstract,10.1371/journal.pone.0084326,123,X460,Asia,China,East Chongqing,30.967821,109.393953,1997-2008,2014,1,1,N-value is number of months of study,PLOS One,3.272
Incidence,Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,Monthly mean,1,Zero-inflated poisson regression,132,,Beta coefficient,Linear,,0.2687,,,,,<0.001,,increase,Abstract,10.1371/journal.pone.0084326,123,X462,Asia,China,Middle Chongqing,29.843532,107.661767,1997-2008,2014,1,1,N-value is number of months of study,PLOS One,3.272
Incidence,Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Temperature,Monthly mean,1,Zero-inflated poisson regression,132,,Beta coefficient,Linear,,0.2369,,,,,<0.001,,increase,Abstract,10.1371/journal.pone.0084326,123,X464,Asia,China,Western Chongqing,29.747604,106.719419,1997-2008,2014,1,1,N-value is number of months of study,PLOS One,3.272
Incidence,Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,Monthly total,1,Zero-inflated poisson regression,132,,Beta coefficient,Linear,,-0.0018,,,,,<0.001,,decrease,Abstract,10.1371/journal.pone.0084326,123,X461,Asia,China,East Chongqing,30.967821,109.393953,1997-2008,2014,1,0,N-value is number of months of study,PLOS One,3.272
Incidence,Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,Monthly total,1,Zero-inflated poisson regression,132,,Beta coefficient,Linear,,-0.0031,,,,,<0.001,,decrease,Abstract,10.1371/journal.pone.0084326,123,X463,Asia,China,Middle Chongqing,29.843532,107.661767,1997-2008,2014,1,0,N-value is number of months of study,PLOS One,3.272
Incidence,Incidence,Japanese encephalitis,V,Flavivirus,Y,,HVH,M,Precipitation,Monthly total,1,Zero-inflated poisson regression,132,,Beta coefficient,Linear,,-0.0064,,,,,<0.001,,decrease,Abstract,10.1371/journal.pone.0084326,123,X465,Asia,China,Western Chongqing,29.747604,106.719419,1997-2008,2014,1,4,N-value is number of months of study,PLOS One,3.272
Cases,cases,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Temperature,Autumn mean,1,Spearman rank correlation,24,,Correlation coefficient,Linear,,0.51,,,,,<0.001,,increase,Abstract,10.1186/1476-072X-8-1,124,X472,Europe,Belgium,,,,1985-2007,2009,1,12,N-value is number of years of study (because scale is measuring seasonal differences),International Journal of Health Geographics,4.098
Cases,cases,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Precipitation,Summer total,1,Spearman rank correlation,24,,Correlation coefficient,Linear,,0.39,,,,,<0.001,,increase,Abstract,10.1186/1476-072X-8-1,124,X467,Europe,Belgium,,,,1985-2007,2009,1,36,"N-value is number of years of study, Lag period chosen because of significance following Bonferroni correction",International Journal of Health Geographics,4.098
Cases,cases,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Temperature,Summer mean,1,Spearman rank correlation,24,,Correlation coefficient,Linear,,0.32,,,,,<0.001,,increase,Abstract,10.1186/1476-072X-8-1,124,X466,Europe,Belgium,,,,1985-2007,2009,1,24,"N-value is number of years of study, Lag period chosen because of significance following Bonferroni correction",International Journal of Health Geographics,4.098
Cases,cases,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Precipitation,Spring total,1,Spearman rank correlation,24,,Correlation coefficient,Linear,,-0.11,,,,,>0.05,0.31,decrease,Abstract,10.1186/1476-072X-8-1,124,X469,Europe,Belgium,,,,1985-2007,2009,1,,N-value is number of years of study (because scale is measuring seasonal differences),International Journal of Health Geographics,4.098
Cases,cases,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Temperature,Winter mean,1,Spearman rank correlation,24,,Correlation coefficient,Linear,,-0.13,,,,,>0.05,0.11,decrease,Abstract,10.1186/1476-072X-8-1,124,X470,Europe,Belgium,,,,1985-2007,2009,1,12,N-value is number of years of study (because scale is measuring seasonal differences),International Journal of Health Geographics,4.098
Cases,Cases,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Precipitation,Autumn total,1,Spearman rank correlation,24,,Correlation coefficient,Linear,,-0.14,,,,,>0.05,0.07,decrease,Abstract,10.1186/1476-072X-8-1,124,X473,Europe,Belgium,,,,1985-2007,2009,1,12,N-value is number of years of study (because scale is measuring seasonal differences),International Journal of Health Geographics,4.098
Cases,cases,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Precipitation,Winter total,1,Spearman rank correlation,24,,Correlation coefficient,Linear,,-0.19,,,,,<0.05,0.02,decrease,Abstract,10.1186/1476-072X-8-1,124,X471,Europe,Belgium,,,,1985-2007,2009,1,12,N-value is number of years of study (because scale is measuring seasonal differences),International Journal of Health Geographics,4.098
Cases,cases,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Temperature,Spring mean,1,Spearman rank correlation,24,,Correlation coefficient,Linear,,-0.29,,,,,<0.001,,decrease,Abstract,10.1186/1476-072X-8-1,124,X468,Europe,Belgium,,,,1985-2007,2009,1,12,N-value is number of years of study (because scale is measuring seasonal differences),International Journal of Health Geographics,4.098
Seroprevalence,Distribution of disease,Alveolar echinococcosis,P,Echinocococcus,Y,,HH,,Precipitation,Annual total,1,Multiple regression model,1612,,Odds ratio,Linear,,1.003,1.001,1.005,95% Confidence,,<0.001,,increase,Discussion,https://doi.org/10.1016/j.vetpar.2013.09.004,241,X843,Europe,Hungary,,,,2008-2013,2013,1,,Can't access,Veterinary Parasitology,2.727
Seroprevalence,Distribution of disease,Alveolar echinococcosis,P,Echinocococcus,Y,,HH,,Temperature,Mean annual,1,Multiple regression model,1612,,Odds ratio,Linear,,0.655,0.492,0.818,95% Confidence,,<0.0001,,decrease,Discussion,https://doi.org/10.1016/j.vetpar.2013.09.004,241,X842,Europe,Hungary,,,,2008-2013,2013,1,,Can't access,Veterinary Parasitology,2.727
Incidence,Standardised Incidence rates,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Annual total,1,Spearman rank correlation,1558,,Correlation coefficient,Linear,,0.438,,,,,<0.001,,increase,Abstract,10.1016/j.actatropica.2011.05.018,136,X531,Asia,Taiwan,,,,2003-2008,2011,1,,Can't access,Acta Tropica,3.074
Incidence,Standardised Incidence rates,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Annual mean,1,Spearman rank correlation,1558,,Correlation coefficient,Linear,,-0.21,,,,,<0.001,,decrease,Abstract,10.1016/j.actatropica.2011.05.018,136,X530,Asia,Taiwan,,,,2003-2008,2011,1,,Can't access,Acta Tropica,3.074
Cases,Incidence rates,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Temperature,Winter deviation,1,Multivariate poisson regression,84,,Risk ratio,Linear,0.75,4.49,2.86,7.06,95% Confidence,,<0.0001,,increase,Discussion,10.3201/eid1507.081413,127,X480,Europe,Germany,Baden-Wurttemberg,48.601905,9.01282,2001-2007,2009,1,,"N-value is number of months of study, Deviations from the perennial average of 1961-1991",Emerging Infectious Diseases,4.568
Cases,Incidence rates,Nephropathia epidemica,V,Hantavirus,Y,,HH,,Temperature,Spring deviation,1,Multivariate poisson regression,84,,Risk ratio,Linear,0.75,1.7,1.11,2.61,95% Confidence,,<0.05,0.0156,increase,Discussion,10.3201/eid1507.081413,127,X479,Europe,Germany,Baden-Wurttemberg,48.601905,9.01282,2001-2007,2009,1,,"N-value is number of months of study, Deviations from the perennial average of 1961-1991",Emerging Infectious Diseases,4.568
Cases,Cases,Leptospirosis,B,Leptospira,Y,,HH,,Precipitation,Quarterly total,1,Zero-inflated poisson bayesian conditional autoregressive models,1473,,Beta coefficient,Linear,,0.79,0.12,1.58,95% Credible,,<0.05,,increase,Abstract,https://doi.org/10.1016/j.scitotenv.2020.138251,138,X543,Asia,China,Pearl River Basin,,,2005-2016,2020,1,,,Science of The Total Environment,8.01
Cases,Cases,Leptospirosis,B,Leptospira,Y,,HH,,Temperature,Quarterly mean,1,Zero-inflated poisson bayesian conditional autoregressive models,1473,,Beta coefficient,Linear,,-0.28,-0.94,0.32,95% Credible,,>0.05,,decrease,Results,https://doi.org/10.1016/j.scitotenv.2020.138251,138,X542,Asia,China,Pearl River Basin,,,2005-2016,2020,1,,,Science of The Total Environment,8.01
Abundance,Disease in host,Crimean congo haemorrhagic fever,V,Orthonairovirus,Y,,HVH,T,Temperature,May-October mean maximum,Log(degrees),Logistic regression,1247,,Beta coefficient,Linear,,7.8566,2.1956,13.5176,Std. error,5.661,>0.05,,increase,Discussion,10.1111/tbed.14385,216,X775,Europe,Spain,,,,2008-2016,2021,1,,Host = red deer,Transboundary and Emerging diseases,4.761
Incidence,Incidence,Tick-borne encephalitis,V,Flavivirus,Y,,HVH,T,Temperature,Daily minimum,1,Multiple-regression analysis,1242,,Beta coefficient,Linear,0.58,0.6,,,,,<0.001,0.0001,increase,Abstract,https://doi.org/10.1016/S0140-6736(00)05250-8,222,X793,Europe,Sweden,Stockholm county,59.334591,18.06324,1960-1998,2001,1,12,"Can't access, range was 5-8 degrees",The Lancet,9.734
Incidence,Incidence,Tick-borne encephalitis,V,Flavivirus,Y,,HVH,T,Temperature,Daily minimum,1,Multiple-regression analysis,1242,,Beta coefficient,Linear,0.58,0.6,,,,,<0.05,0.03,increase,Abstract,https://doi.org/10.1016/S0140-6736(00)05250-8,222,X794,Europe,Sweden,Stockholm county,59.334591,18.06324,1960-1999,2001,1,,"Can't access, range was 5-8 degrees",The Lancet,9.734
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Granger causality test,144,,F-statistic,Linear,,61.74,,,,,<0.05,,no change,,10.3390/ijerph120707254,129,X488,Asia,South Korea,,,,2001-2010,2015,1,1,N-value was the number of months in study where meteorological data was averaged,International Journal of Environmental Research and Public Health,3.531
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Granger causality test,144,,F-statistic,Linear,,7.81,,,,,>0.05,,no change,,10.3390/ijerph120707254,129,X490,Asia,South Korea,,,,2001-2010,2015,1,4,N-value was the number of months in study where meteorological data was averaged,International Journal of Environmental Research and Public Health,3.531
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Granger causality test,144,,F-statistic,Linear,,6.14,,,,,>0.05,,no change,,10.3390/ijerph120707254,129,X489,Asia,South Korea,,,,2001-2010,2015,1,6,N-value was the number of months in study where meteorological data was averaged,International Journal of Environmental Research and Public Health,3.531
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Pearson correlation,144,,Correlation coefficient,Linear,,0.04,,,,,>0.05,,increase,Discussion,10.3390/ijerph120707254,129,X487,Asia,South Korea,,,,2001-2010,2015,1,,N-value was the number of months in study where meteorological data was averaged,International Journal of Environmental Research and Public Health,3.531
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Pearson correlation,144,,Correlation coefficient,Linear,,-0.15,,,,,>0.05,,decrease,Discussion,10.3390/ijerph120707254,129,X485,Asia,South Korea,,,,2001-2010,2015,1,,N-value was the number of months in study where meteorological data was averaged,International Journal of Environmental Research and Public Health,3.531
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,144,,Correlation coefficient,Linear,,-0.27,,,,,<0.05,,decrease,Discussion,10.3390/ijerph120707254,129,X486,Asia,South Korea,,,,2001-2010,2015,1,,N-value was the number of months in study where meteorological data was averaged,International Journal of Environmental Research and Public Health,3.531
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.623,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X512,Asia,Taiwan,Kinmen islands,24.449071,118.391168,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.583,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X515,Asia,Taiwan,Matou islands,26.15066606,119.9229963,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.567,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X514,Asia,Taiwan,Kinmen islands,24.449071,118.391168,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.475,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X497,Asia,Taiwan,Central west,"23.976187, 120.487671",,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.422,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X500,Asia,Taiwan,Southwest,22.946214,120.25411,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.37,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X509,Asia,Taiwan,Pescadore islands,23.57117,119.609012,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.354,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X513,Asia,Taiwan,Kinmen islands,24.449071,118.391168,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.279,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X501,Asia,Taiwan,Southwest,22.946214,120.25411,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.276,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X502,Asia,Taiwan,Southwest,22.946214,120.25411,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.249,,,,,<0.01,,increase,Abstract,10.1186/1471-2334-13-191,130,X498,Asia,Taiwan,Central west,"23.976187, 120.487671",,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.202,,,,,>0.05,,increase,Abstract,10.1186/1471-2334-13-191,130,X506,Asia,Taiwan,Southeast,23.345218,121.440576,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.182,,,,,>0.05,,increase,Abstract,10.1186/1471-2334-13-191,130,X491,Asia,Taiwan,North,25.077283,121.620187,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.18,,,,,>0.05,,increase,Abstract,10.1186/1471-2334-13-191,130,X517,Asia,Taiwan,Matou islands,26.15066606,119.9229963,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.16,,,,,>0.05,,increase,Abstract,10.1186/1471-2334-13-191,130,X507,Asia,Taiwan,Southeast,23.345218,121.440576,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.15,,,,,>0.05,,increase,Abstract,10.1186/1471-2334-13-191,130,X510,Asia,Taiwan,Pescadore islands,23.57117,119.609012,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.08,,,,,>0.05,,increase,Abstract,10.1186/1471-2334-13-191,130,X511,Asia,Taiwan,Pescadore islands,23.57117,119.609012,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Temperature,Monthly mean,1,Pearson correlation,120,,Correlation coefficient,Linear,,0.016,,,,,>0.05,,increase,Abstract,10.1186/1471-2334-13-191,130,X494,Asia,Taiwan,Northwest,24.789041,120.962792,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Pearson correlation,120,,Correlation coefficient,Linear,,0,,,,,>0.05,,no change,Abstract,10.1186/1471-2334-13-191,130,X499,Asia,Taiwan,Central west,"23.976187, 120.487671",,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,120,,Correlation coefficient,Linear,,0,,,,,>0.05,,no change,Abstract,10.1186/1471-2334-13-191,130,X516,Asia,Taiwan,Matou islands,26.15066606,119.9229963,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,120,,Correlation coefficient,Linear,,-0.02,,,,,>0.05,,decrease,Abstract,10.1186/1471-2334-13-191,130,X492,Asia,Taiwan,North,25.077283,121.620187,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,120,,Correlation coefficient,Linear,,-0.07,,,,,>0.05,,decrease,Abstract,10.1186/1471-2334-13-191,130,X504,Asia,Taiwan,Northeast,24.729557,121.762056,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Pearson correlation,120,,Correlation coefficient,Linear,,-0.08,,,,,>0.05,,decrease,Abstract,10.1186/1471-2334-13-191,130,X508,Asia,Taiwan,Southeast,23.345218,121.440576,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Pearson correlation,120,,Correlation coefficient,Linear,,-0.09,,,,,>0.05,,decrease,Abstract,10.1186/1471-2334-13-191,130,X493,Asia,Taiwan,North,25.077283,121.620187,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Precipitation,Monthly total,1,Pearson correlation,120,,Correlation coefficient,Linear,,-0.09,,,,,>0.05,,decrease,Abstract,10.1186/1471-2334-13-191,130,X495,Asia,Taiwan,Northwest,24.789041,120.962792,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
Incidence,Incidence,Scrub typhus,B,Rickettsia,Y,,HVH,T,Humidity,Monthly mean relative,1,Pearson correlation,120,,Correlation coefficient,Linear,,-0.1,,,,,>0.05,,decrease,Abstract,10.1186/1471-2334-13-191,130,X505,Asia,Taiwan,Northeast,24.729557,121.762056,2002-2011,2013,1,,N-value is number of months of study,BMC Infectious Diseases,3.147
